DATE,MABMM301USM189S
2007-02-01,7124400000000.0
2007-03-01,7158100000000.0
2007-04-01,7230500000000.0
2007-05-01,7244300000000.0
2007-06-01,7277500000000.0
2007-07-01,7307800000000.0
2007-08-01,7384200000000.0
2007-09-01,7402500000000.0
2007-10-01,7416100000000.0
2007-11-01,7441000000000.0
2007-12-01,7471100000000.0
2008-01-01,7504800000000.0
2008-02-01,7589500000000.0
2008-03-01,7655300000000.0
2008-04-01,7698200000000.0
2008-05-01,7710300000000.0
2008-06-01,7727800000000.0
2008-07-01,7774200000000.0
2008-08-01,7789200000000.0
2008-09-01,7859100000000.0
2008-10-01,7967200000000.0
2008-11-01,8017900000000.0
2008-12-01,8194100000000.0
2009-01-01,8275299999999.999
2009-02-01,8304500000000.0
2009-03-01,8370400000000.0
2009-04-01,8373700000000.001
2009-05-01,8431400000000.0
2009-06-01,8440900000000.0
2009-07-01,8445799999999.999
2009-08-01,8445400000000.0
2009-09-01,8444600000000.0
2009-10-01,8471500000000.0
2009-11-01,8501600000000.0
2009-12-01,8496400000000.0
2010-01-01,8458500000000.0
2010-02-01,8508200000000.001
2010-03-01,8505200000000.001
2010-04-01,8535799999999.999
2010-05-01,8590700000000.001
2010-06-01,8609700000000.001
2010-07-01,8619400000000.0
2010-08-01,8669700000000.001
2010-09-01,8700700000000.001
2010-10-01,8749799999999.999
2010-11-01,8770500000000.0
2010-12-01,8802200000000.0
2011-01-01,8838700000000.0
2011-02-01,8884200000000.0
2011-03-01,8928500000000.0
2011-04-01,8990900000000.0
2011-05-01,9042400000000.0
2011-06-01,9126500000000.0
2011-07-01,9314600000000.0
2011-08-01,9528200000000.0
2011-09-01,9552700000000.0
2011-10-01,9584300000000.0
2011-11-01,9625400000000.0
2011-12-01,9663900000000.0
2012-01-01,9743000000000.0
2012-02-01,9785900000000.0
2012-03-01,9830500000000.0
2012-04-01,9885100000000.0
2012-05-01,9916900000000.0
2012-06-01,9986600000000.0
2012-07-01,10059900000000.0
2012-08-01,10130900000000.0
2012-09-01,10213100000000.0
2012-10-01,10274300000000.0
2012-11-01,10332800000000.0
2012-12-01,10458500000000.0
2013-01-01,10483800000000.0
2013-02-01,10480900000000.0
2013-03-01,10552500000000.0
2013-04-01,10588000000000.0
2013-05-01,10624400000000.0
2013-06-01,10678900000000.0
2013-07-01,10735000000000.0
2013-08-01,10793300000000.0
2013-09-01,10845500000000.0
2013-10-01,10958100000000.0
2013-11-01,10966000000000.0
2013-12-01,11027700000000.0
2014-01-01,11078200000000.0
2014-02-01,11161400000000.0
2014-03-01,11203000000000.0
2014-04-01,11259400000000.0
2014-05-01,11327800000000.0
2014-06-01,11380100000000.0
2014-07-01,11441400000000.0
2014-08-01,11470500000000.0
2014-09-01,11504800000000.0
2014-10-01,11564200000000.0
2014-11-01,11603500000000.0
2014-12-01,11680700000000.0
2015-01-01,11744500000000.0
2015-02-01,11865100000000.0
2015-03-01,11882000000000.0
